,beta,bookValuePerShare,currentRatio,dividendYield,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,interestCoverage,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities
OMC,0.6906,2.61731,0.96136,4.83,0.0,0.0,4.29087,27.47884,26.2571,7.211860000000001,236.8048,11566.38,213.0763,0.0,7.37944,2.23158,11.468160000000001,4.79336,9.18477,12.54524,0.0,0.8277899999999999,0.0,4.32479,38.94095,10.389389999999999,0.0,0.0,0.0,214868724.0,0.0,0.0,65.28984,237.07,1808937.0,1808940.0,55346290.0,1,0,0,0,0,0,0,0,0,0,0
OKE,2.0703,39.59401,1.7122400000000002,12.91,0.0,0.0,1.4894399999999999,0.0,0.0,1.83532,228.7619,12872.97,441.3371,8.08807,7.12807,21.67301,14.02984,2.0627400000000002,11.28266,19.456979999999998,0.0,1.47554,1.29366,2.90974,9.86227,3.1302,0.0,0.0,0.0,444201950.0,0.0,0.0,69.59418000000001,228.8844,4694573.0,4694570.0,138952100.0,0,0,0,1,0,0,0,0,0,0,0
ORCL,0.82081,0.0,3.0314,1.78,6.47202,0.0,3.091,81.13804,79.68106,7.125,573.2069,165678.1,1922.506,29.8496,25.942610000000002,41.26832,35.56966,13.71437,12.64429,17.466839999999998,2.698824,4.24087,3.01913,9.04317,59.86591,10.834010000000001,6.5639,0.0,0.0,3068682000.0,0.0,0.0,84.91405,592.8441,8036491.0,8036490.0,259552320.0,0,0,0,0,0,0,0,1,0,0,0
OTIS,0.0,0.0,1.10934,1.25,0.0,0.0,2.13219,29.41565,29.45265,10.63415,0.0,27699.76,433.0421,8.74876,8.54593,13.73391,13.134820000000001,0.0,23.71555,29.997329999999998,0.0,2.1878,1.00017,0.0,0.0,0.0,2.12407,0.0,0.0,433079455.0,0.0,0.0,231.6158,0.0,1782365.0,1782370.0,67319010.0,0,0,0,0,0,0,1,0,0,0,0
PCAR,1.14799,8.02886,5.044169999999999,1.44,0.0,0.0,4.74183,20.26974,19.7092,11.0,106.3395,30672.26,339.2022,4.82333,7.95003,6.60963,10.687610000000001,3.13409,11.29068,18.68688,0.0,1.48117,4.73068,6.14582,16.9615,7.1772,0.0,0.0,0.0,346148924.0,0.0,0.0,51.53618,106.3395,1581349.0,1581350.0,36925180.0,0,0,0,0,0,0,1,0,0,0,0
PKG,1.23116,15.9675,3.8897,3.18,0.0,0.0,5.4149400000000005,21.52958,22.205029999999997,7.796810000000001,79.57614000000001,9410.479,93.28729,3.678,7.65362,7.53114,12.24669,3.0024599999999997,10.23434,18.325229999999998,0.0,1.40016,2.6689599999999998,7.171139999999999,16.86074,7.95472,0.0,0.0,0.0,94835022.0,0.0,0.0,44.32915,79.62720999999999,982619.0,982620.0,16144700.0,0,0,0,0,0,0,0,0,1,0,0
PH,1.69688,0.74048,1.49211,1.69,0.0,0.0,10.192860000000001,25.54915,25.130229999999997,9.52024,128.6203,26762.82,127.6411,9.922369999999999,9.31845,12.26645,11.64436,4.250769999999999,14.6961,20.47806,0.0,1.88253,0.9445899999999999,7.391889999999999,21.522779999999997,9.262939999999999,5.84504,0.0,0.0,128217414.0,0.0,0.0,59.15022,145.0624,1064382.0,1064380.0,24292780.0,0,0,0,0,0,0,1,0,0,0,0
PAYX,0.9065200000000001,9.41573,1.23441,3.33,6.20889,0.0,3.04212,0.0,0.0,0.0,28.647440000000003,26710.4,320.0032,24.11758,27.177329999999998,32.73959,36.14652,9.60403,20.423920000000003,24.47306,3.9416160000000002,6.61067,0.0,12.74881,40.66359,27.608490000000003,0.0,7.1040399999999995,0.0,358769682.0,0.0,0.0,22.37881,28.8308,1486719.0,1486720.0,43517920.0,0,0,0,0,0,0,0,1,0,0,0
PAYC,1.64345,45.99082,1.10992,0.0,12.7628,0.0,3.01592,83.7224,85.51258,0.0,5.11886,17504.27,49.851079999999996,15.743970000000001,22.22901,14.63541,28.609109999999998,29.39593,78.10813,99.15714,7.7692309999999996,22.09103,1.10869,9.39971,34.500370000000004,24.64883,0.0,21.36608,0.0,58532912.0,0.0,0.0,5.14299,5.42184,651145.0,651150.0,13232950.0,0,0,0,0,0,0,0,1,0,0,0
PYPL,1.16431,16.31691,1.3786399999999999,0.0,4.00053,86.37753000000001,2.1787799999999997,48.56491,44.85378,0.0,50.64626,230440.9,1173.613,29.08192,13.440520000000001,18.07641,14.80383,13.05262,63.53484,90.0917,22.519941,11.99089,0.0,4.63082,15.293529999999999,10.776639999999999,13.923779999999999,17.59883,0.0,1173299768.0,0.0,0.0,33.56375,50.64626,7278872.0,7278870.0,160302500.0,0,0,0,0,0,0,0,1,0,0,0
