Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
PSO,9.14,-0.54406964,-0.05,Buy,183342,6889890000,21.35719266,0.4303,26000,Consumer Services
PVH,96.62,0.12435233,0.12,Buy,1089402,6869710986,,-16.0368,21500,Consumer Non-Durables
SITE,155.04,2.10075733,3.19,Buy,194451,6857574240,59.42085698,2.6395,4600,Distribution Services
KOD,134.79,-2.1346112,-2.94,Sell,242279,6844056603,,-2.318,39,Health Technology
LECO,115.05,1.16064363,1.32,Sell,207063,6842104035,33.72875827,3.4067,11000,Producer Manufacturing
DXC,26.88,3.7037037,0.96,Buy,3705486,6838594560,,-15.2334,138000,Technology Services
NNN,39.1,-0.63532402,-0.25,Sell,1393413,6836200000,31.87525314,1.236,70,Finance
AXTA,28.93,2.58865248,0.73,Buy,2936777,6812349610,71.57360406,0.3969,14000,Process Industries
LHCG,212.85,1.2125535,2.55,Strong Buy,154579,6724421055,63.93651952,3.3166,30399,Health Services
HII,165.56,0.92045108,1.51,Sell,392128,6703954856,11.24354036,14.6482,42000,Electronic Technology
TMX,50.74,2.19536757,1.09,Buy,460310,6703109180,190.66820276,0.2608,12000,Consumer Services
QTWO,124.3,0.29855564,0.37,Buy,287684,6697681760,,-2.2853,1574,Technology Services
PEN,184.28,4.94305239,8.68,Sell,840151,6691427936,,-0.2635,2700,Health Technology
COG,16.76,0.96385542,0.16,Sell,6325041,6680200800,31.14446529,0.5372,274,Energy Minerals
VERT.U,20.36,0.2955665,0.06,Sell,2150,6666780000,,,19800,Electronic Technology
MANH,104.66,1.33617351,1.38,Buy,173537,6648673024,79.70980937,1.3123,3400,Technology Services
DVN,17.36,7.62554247,1.23,Buy,17603643,6640443040,,-8.5171,1800,Energy Minerals
ARES,46.15,-1.13538989,-0.53,Sell,879530,6637846800,87.12206047,0.5782,1200,Finance
TIMB,13.36,-2.48175182,-0.34,Sell,357856,6632990000,14.80600886,0.9279,9700,Communications
TWST,138.5,4.19017528,5.57,Buy,545501,6631352300,,-3.7593,525,Health Technology
EXEL,21.37,4.09157331,0.84,Buy,3158203,6629914280,42.90491118,0.4985,617,Health Technology
SC,21.59,1.6,0.34,Buy,605903,6608072890,12.53687316,1.6956,5175,Finance
ITT,76.38,1.73148641,1.3,Buy,302317,6599232000,43.03071985,1.7647,10500,Producer Manufacturing
HRC,98.4,0.42865891,0.42,Buy,265080,6574389360,29.53250746,3.3466,10000,Health Technology
CASY,177.82,0.2141569,0.38,Sell,377967,6567906174,20.10605992,8.8847,37153,Retail Trade
ADT,8.05,2.67857143,0.21,Sell,2765766,6567564526,,,17500,Commercial Services
IOVA,44.74,-3.28577605,-1.52,Sell,1046819,6562776380,,-1.9263,148,Health Technology
POST,99.34,-0.77906512,-0.78,Buy,344770,6544529134,,0.0168,10200,Consumer Non-Durables
OMF,48.51,3.21276596,1.51,Buy,593760,6516154260,10.06833615,4.677,9700,Finance
BLDP,23.08,2.44118953,0.55,Strong Buy,2766729,6506805920,,-0.19749205,610,Producer Manufacturing
ICL,5.08,1.6,0.08,Buy,98354,6505194000,,-0.006286,12117,Process Industries
GLPG,99.26,0.24237528,0.24,Sell,81473,6477080000,,-6.2515,1003,Health Technology
IRTC,224.17,-1.66688599,-3.8,Buy,402590,6472101738,,-1.907,997,Health Technology
PTR,31.08,1.40293638,0.43,Buy,193489,6466810000,,,460724,Energy Minerals
ALLK,123.12,-7.96142633,-10.65,Neutral,843040,6464206296,,-2.7419,90,Health Technology
JBL,43.06,2.1105051,0.89,Buy,903269,6439623000,30.36434332,1.425,240000,Electronic Technology
NCNO,69.33,-3.23796232,-2.32,Strong Sell,1204042,6398784618,,-0.419,877,Technology Services
OGE,31.96,0.06261741,0.02,Sell,1663935,6392639200,,-0.9641,2425,Utilities
PSTG,23.36,1.83086312,0.42,Buy,3412831,6372864960,,-0.8836,3400,Electronic Technology
WF,26.37,-0.37778617,-0.1,Sell,45723,6372810000,9.62790528,2.7493,15529,Finance
GMED,64.52,1.86296179,1.18,Buy,757062,6366297890,68.64636393,0.9541,2000,Health Technology
JEF,24.92,0.40290089,0.1,Buy,2627771,6365440200,9.19157131,2.7305,,Finance
KRC,55.81,1.06845346,0.59,Strong Sell,1246752,6364160000,34.00455693,1.6326,267,Finance
TRGP,27.78,6.19266055,1.62,Buy,2210003,6361981140,,-7.8476,2680,Energy Minerals
PB,68.69,-0.20339968,-0.14,Buy,464232,6357850234,13.21214681,5.2096,3901,Finance
REYN,30.19,-2.6756931,-0.83,Sell,441946,6330873190,18.9238653,1.6399,5100,Consumer Non-Durables
PAA,8.69,5.97560976,0.49,Buy,5173236,6330465130,,-3.3736,5000,Industrial Services
BTG,6.02,1.68918919,0.1,Buy,9054370,6324551800,9.7576999,0.61553434,4217,Non-Energy Minerals
CUBE,31.87,-1.4228271,-0.46,Sell,1229683,6312950000,37.96383279,0.8539,3011,Finance
PFGC,47.25,1.67850226,0.78,Buy,729425,6309103500,,-1.1421,20000,Distribution Services
SRCL,68.59,1.62987109,1.1,Sell,471092,6279585975,,-3.5614,19500,Industrial Services
TTEK,116.72,2.23351143,2.55,Buy,256340,6276898128,36.13775203,3.2047,20000,Industrial Services
GSX,48.22,-1.08717949,-0.53,Sell,3722966,6273490000,,-0.3611,6435,Technology Services
NTNX,31.1,-0.35245114,-0.11,Buy,2031269,6268127312,,-4.5856,6170,Technology Services
CLF,15.7,8.87656033,1.28,Buy,17867478,6268099400,,-0.2774,2372,Non-Energy Minerals
CDK,51.2,1.20577189,0.61,Buy,509681,6230630400,34.11558433,1.4894,9000,Commercial Services
KSS,39.49,1.83084064,0.71,Buy,3738673,6225677480,,-1.5649,122000,Retail Trade
FRT,82.61,0.41327337,0.34,Sell,699124,6223490000,35.36061205,2.3266,308,Finance
PHI,28.56,-0.83333333,-0.24,Strong Buy,38258,6222410000,11.84795129,2.4308,18784,Communications
LFUS,255.18,1.26190476,3.18,Buy,149620,6220038018,66.20080912,3.8429,11300,Producer Manufacturing
LSCC,45.65,0.70593426,0.32,Buy,762833,6215521400,139.13443831,0.3372,747,Electronic Technology
KIM,14.41,0.55826936,0.08,Sell,3135780,6197710000,7.117314,2.0192,502,Finance
LPL,8.64,-0.23094688,-0.02,Buy,168153,6197370000,,-2.8972,26665,Electronic Technology
CPRI,41.11,1.28110372,0.52,Buy,3398928,6193098170,,-2.6891,17006,Retail Trade
REXR,46.98,-0.55038103,-0.26,Sell,1096115,6166000000,81.98542173,0.5779,123,Finance
ALK,49.86,1.25913891,0.62,Sell,1645081,6165887040,,-5.6404,24134,Transportation
BC,78.68,2.82279143,2.16,Buy,524496,6163995768,17.80404384,4.3161,12828,Consumer Durables
PSXP,26.99,3.44959755,0.9,Sell,835994,6162896600,6.69472172,3.9618,,Industrial Services
NKLA,16.03,-0.31094527,-0.05,Sell,7925937,6156930640,,-0.6354,256,Consumer Durables
MAT,17.69,2.55072464,0.44,Buy,1584784,6156827600,,-0.0127,24000,Consumer Durables
WES,14.79,4.15492958,0.59,Buy,2987668,6155538840,11.73941799,1.2096,979,Energy Minerals
SQM,55.01,7.65166341,3.91,Buy,2441181,6151260000,82.67270668,0.6181,5741,Process Industries
APPF,178.43,0.77944084,1.38,Buy,77125,6125181440,38.64961034,4.7644,1240,Technology Services
PLNT,74.77,1.13620993,0.84,Sell,1491833,6117315027,1079.27007299,0.0722,1735,Consumer Services
ANGI,12.23,-5.70547417,-0.74,Sell,2032811,6112519756,842.20779221,0.0164,5000,Technology Services
APA,16.18,9.54637779,1.41,Buy,15103131,6107594040,,-20.7775,3163,Energy Minerals
AN,69.33,1.82111911,1.24,Buy,639947,6091680450,15.51908832,4.435,25000,Retail Trade
HAE,119.95,0.73906106,0.88,Strong Buy,194979,6090737135,57.53563663,2.0982,3004,Health Technology
CACC,345.04,2.69047619,9.04,Buy,147355,6089748976,14.63682381,22.992,2016,Finance
NEO,54.84,0.18268177,0.1,Buy,589163,6088885200,,-0.0466,1700,Health Services
YETI,69.62,1.66471963,1.14,Buy,559583,6062669726,61.24128063,1.1288,790,Producer Manufacturing
PII,98.26,2.6642984,2.55,Buy,637498,6062651826,294.5829486,0.393,14000,Consumer Durables
AMWL,25.76,0.82191781,0.21,Sell,1446473,6052476838,,,686,Technology Services
PRGO,44.27,-0.80663231,-0.36,Strong Sell,833465,6042456570,,-0.0467,11200,Health Technology
CACI,239.16,-0.82932493,-2,Sell,164110,6031328208,17.69734863,13.8396,22900,Technology Services
WAL,59.79,1.2703252,0.75,Buy,569387,6028565910,13.51246195,4.3834,1835,Finance
SFIX,57.18,2.03426124,1.14,Buy,3901802,5995985602,,-0.5572,8000,Retail Trade
BLD,180.59,-0.51234024,-0.93,Buy,256959,5963876396,27.30814942,6.7311,10400,Producer Manufacturing
VRT,18.15,-1.99784017,-0.37,Sell,3283460,5960695950,,-1.1225,19800,Electronic Technology
TNDM,95.55,2.20344422,2.06,Buy,833241,5942694030,,-0.8056,1043,Health Technology
SON,58.9,0.85616438,0.5,Sell,320676,5914561300,22.38148162,2.619,23000,Process Industries
CYBR,152.65,-1.31876657,-2.04,Buy,458435,5912348210,2261.5497076,0.0874,1380,Technology Services
OSK,86.64,1.84553897,1.57,Buy,541332,5907964272,18.0313275,4.762,14400,Producer Manufacturing
FSV,135.09,0.91133189,1.22,Buy,40566,5885898318,80.65712788,1.67501404,,Finance
NVRO,170.82,-0.41972718,-0.72,Buy,808130,5881127616,,-2.7204,853,Health Technology
MRO,7.45,9.07759883,0.62,Buy,53060783,5880970400,,-1.4336,2000,Energy Minerals
TPTX,122,2.72819131,3.24,Buy,232349,5877032800,,-3.5105,95,Health Technology
CHH,105.88,1.35937201,1.42,Buy,201692,5871903628,53.38580263,1.9667,1807,Consumer Services
TPL,795,5.08089246,38.44,Buy,62282,5868000000,28.96621961,26.1187,94,Miscellaneous
PE,15.16,7.13780919,1.01,Buy,8084642,5863948640,,-10.2116,496,Energy Minerals
TKR,77.81,3.00503045,2.27,Buy,472156,5863465922,16.72459982,4.58,18000,Producer Manufacturing
ESLT,132.62,2.00753788,2.61,Strong Buy,31276,5861578546,25.42137325,5.11879075,16575,Electronic Technology
CLGX,75.02,-2.41935484,-1.86,Sell,1645831,5834958074,26.3648834,2.975,5100,Technology Services
IQ,18.64,3.32594235,0.6,Sell,11896211,5822090000,,-1.5518,8889,Technology Services
AZEK,37.57,-0.07978723,-0.03,Buy,534233,5809715847,,-0.9065,1663,Producer Manufacturing
WMS,82.27,2.05929785,1.66,Buy,303474,5798126336,39.34306213,2.0733,4950,Producer Manufacturing
MSA,148.79,1.84120465,2.69,Buy,109375,5795861507,41.36466591,3.5745,4800,Consumer Durables
HUN,26.2,4.8,1.2,Buy,1818162,5784724200,529.66101695,0.0606,10000,Process Industries
AER,44.54,2.50863061,1.09,Buy,900370,5779376780,,-0.2104,390,Finance
FAF,51.74,1.1336982,0.58,Buy,545705,5776512300,9.05278432,5.6722,18412,Finance
TX,31.06,5.68220483,1.67,Buy,526108,5769480000,23.4781914,1.2518,19863,Non-Energy Minerals
FOLD,22.14,1.65289256,0.36,Sell,2546802,5769418320,,-1.1479,584,Health Technology
TCF,37.82,2.54880694,0.94,Buy,951396,5768079480,24.03858689,1.5348,,Finance
CCJ,14.57,8.81254668,1.18,Buy,8560430,5767476220,,-0.00875912,1885,Non-Energy Minerals
MNSO,26.74,5.19276161,1.32,Buy,547487,5756680000,,-0.8647,,Retail Trade
