,index,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
45,NAKD,0.0,0.0,0.79689,0.0,0.0, ,0.0, ,0.0,0.0,76.51605,97.26561,0.0,40.90094,41.18253,2.62,0.0,0.0661,0.0,50.94221,233.0787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86048,0.45998,0.0,0.0,0.0,0.0,0.0,0.0,96309695.0,0.0,0.0,NAKD,102.7636,0.0,107436999.0,107437000.0,2194277200.0,0.41200000000000003,89.25126321,0.1943,Buy,880370996,39679596.0,,-4.4048,577.0,Consumer Non-Durables
46,NAOV,0.0,0.0,10.72527,0.0,0.0, ,0.0, ,0.0,0.0,32.48387,46.36626,0.0,66.0,26.12903,3.5,0.0,0.5351,0.85706,16.02559,17.83189,0.0,0.0,0.0,0.0,3.17797,0.0,0.0,0.0,25.84772,10.42582,0.0,0.0,0.0,0.0,24.74849,0.0,19307938.0,0.0,0.0,NAOV,1.26927,1.28558,840993.0,840990.0,83679410.0,0.8796,5.97590361,0.0496,Buy,2531810,20088438.0,,-0.5572,10.0,Health Technology
47,NDRA,1.5756,27.72768,3.41728,0.0,0.0, ,0.0, ,0.0,0.0,0.0,66.716,0.0,0.0,0.0,2.25,0.0,0.599,10.10741,26.91306,31.7975,0.0,0.0,0.0,0.0,6.00081,0.0,0.0,0.0,0.0,3.18619,0.0,0.0,0.0,0.0,0.0,0.0,33641324.0,0.0,0.0,NDRA,9.17959,10.10741,759182.0,759180.0,7639200.0,0.89,11.25,0.09,Buy,1393341,29940757.0,,-1.8304,15.0,Health Technology
48,NEOS,1.51441,0.0,0.65528,0.0,0.0, ,0.0, ,0.0,0.0,11.18613,0.0,0.0,59.15437,56.89295,1.98,0.0,0.4501,0.0,31.99353,49.00861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56136,0.52967,0.0,0.0,0.0,0.0,0.0,0.0,49756656.0,0.0,0.0,NEOS,202.9659,0.0,1277033.0,1277030.0,88872240.0,0.6759999999999999,5.13219285,0.033,Buy,1909887,33635529.0,,-0.4394,213.0,Health Technology
49,NSPR,2.24499,0.0,5.19112,0.0,0.0, ,0.0, ,0.0,0.0,86.55163,94.90301,0.0,30.40816,21.91617,1.64,0.0,0.282,0.0,16.26009,32.50861,0.0,0.0,0.0,0.0,1.40656,0.0,0.0,0.0,4.86829,4.65084,0.0,0.0,0.0,213.099,0.0,0.0,36954755.0,0.0,0.0,NSPR,0.0,0.0,7853611.0,7853610.0,47845190.0,0.5285,20.11363636,0.0885,Buy,49357812,19530612.0,,-1.2622,48.0,Health Technology
50,NVCN,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22647127.0,0.0,0.0,NVCN,0.0,0.0,2515723.0,0.0,0.0,0.99,5.0955414,0.048,Buy,2071274,22420629.0,,-3.16631106,110.0,Health Technology
51,NVIV,1.76537,0.0,4.3835,0.0,0.0, ,0.0, ,0.0,0.0,67.19371,94.58407,0.0,0.0,0.0,11.997,0.0,0.4975,0.0,17.25505,18.5574,0.0,0.0,0.0,0.0,0.50969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21171836.0,0.0,0.0,NVIV,0.0,0.0,5984014.0,5984010.0,56833740.0,0.9223,13.16564417,0.1073,Buy,9483664,19526751.0,,-9.5547,6.0,Health Technology
52,OGEN,0.4356,0.0,9.55053,0.0,0.0, ,0.0, ,0.0,0.0,1.1013,9.4013,0.0,0.0,0.0,2.09,0.0,0.36,0.0,47.70963,85.39326,0.0,0.0,0.0,0.0,12.86411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91766928.0,0.0,0.0,OGEN,4.66897,4.89764,17655583.0,17655580.0,156587510.0,0.58,11.55991537,0.0601,Buy,40253380,43612578.0,,-0.5021,7.0,Health Technology
53,ONTX,1.9025,0.0,2.69117,0.0,0.0, ,0.0, ,0.0,0.0,92.97082,95.38856,0.0,0.0,0.0,1.56,0.0,0.1901,0.0,92.75156,183.7688,0.0,0.0,0.0,0.0,7.57683,0.0,0.0,0.0,454.6645,0.0,0.0,0.0,0.0,17.85714,0.0,0.0,184948267.0,0.0,0.0,ONTX,0.0,0.0,42647345.0,42647350.0,335056940.0,0.83,65.50348953,0.3285,Buy,264762391,153506840.0,,-0.1616,19.0,Health Technology
54,PT,0.0,0.0,1.07236,0.0,0.0, ,0.13634,2014-06-20 00:00:00.000,0.0,0.0,0.0,0.0,0.0,8.22622,40.1131,3.28,0.0,0.75,53.55304,42.70256,33.05795,0.0,0.0,0.0,0.0,1.42405,0.0,0.0,0.0,0.21464,0.0,0.0,0.0,0.0,71.46794,0.0,0.0,251028277.0,0.0,0.0,PT,69.11535,423.5591,189801.0,189800.0,5294140.0,0.9998,1.00010102,0.0099,Buy,53286,35499000.0,,,256.0,Technology Services
